ID,標籤,主旨,主分類,次分類,檔案名稱,類型,路徑,啟用,負責人,創建日期,最後更新人,最後更新日期
a80c8fce-5649-4284-b430-11bfd951567c, ,實驗室檢測通知單 ,BPM,操作手冊,BPM_操作手冊_T0005_實驗室檢測通知單_V1.0.0.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_T0005_實驗室檢測通知單_V1.0.0.mht,Y,SystemTransfert,2015/05/28,SystemTransfert,2015/05/28
b19a1ee2-b411-4eb7-b7f2-e41230135a3f, ,底盤件出貨標示卡 ,BPM,操作手冊,BPM_操作手冊_M0001_底盤件出貨標示卡_V1.0.0.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_M0001_底盤件出貨標示卡_V1.0.0.mht,Y,SystemTransfert,2015/05/28,SystemTransfert,2015/05/28
064b21a3-4d0a-401f-8339-89a21956db8b, ,不合格品品質管制單 ,BPM,操作手冊,BPM_操作手冊_Q0001_不合格品品質管制單_V1.0.0.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_Q0001_不合格品品質管制單_V1.0.0.mht,Y,SystemTransfert,2015/05/28,SystemTransfert,2015/05/28
a6eb36b8-9d22-4f7e-a6db-46861578f3a6, ,特採單,BPM,操作手冊,特採單.mht,html,http://sai-wsus12/faq/BPM/特採單.mht,Y,SystemTransfert,2015/10/05,SystemTransfert,2015/10/05
7430bf8f-eaa3-425c-a462-ffbe14d786da, ,零用金申請單,BPM,操作手冊,BPM_操作手冊_F0001_零用金申請單_V1.0.1.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_F0001_零用金申請單_V1.0.1.mht,Y,SystemTransfert,2016/01/29,SystemTransfert,2016/01/29
a9015cfe-53ed-4268-a59d-5bc3c9b47f6c, ,員工聚餐申請,BPM,操作手冊,HRA0003_操作手冊_員工聚餐_V1.0.1.mht,html,http://sai-wsus12/faq/BPM/HRA0003_操作手冊_員工聚餐_V1.0.1.mht,Y,SystemTransfert,2016/03/31,SystemTransfert,2016/03/31
0de52442-8ee3-4962-bfa7-bc3b12894eb4, ,非責任制輪班人員加班管制計劃,BPM,操作手冊,HR_C0017_操作手冊_非責任制輪班人員加班計劃表_V1.1.0.0.mht,html,http://sai-wsus12/faq/BPM/HR_C0017_操作手冊_非責任制輪班人員加班計劃表_V1.1.0.0.mht,Y,SystemTransfert,2016/02/29,SystemTransfert,2016/02/29
f4d19835-2841-4287-8ad6-f6242b3a1d6f, ,職工福利金申請,BPM,操作手冊,BPM_職工福利金申請基本操作.mht,html,http://sai-wsus12/faq/BPM/BPM_職工福利金申請基本操作.mht,Y,SystemTransfert,2016/05/31,SystemTransfert,2016/05/31
a364f9a3-09cb-4f19-9c94-b5a785729272, ,公文傳閱單,BPM,操作手冊,BPM_操作手冊_A0015_公文傳閱單.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_A0015_公文傳閱單.mht,Y,SystemTransfert,2017/01/04,SystemTransfert,2017/01/04
22a6c496-8217-4bfd-8861-b6abe2f093c2, ,托外加工送貨單,BPM,操作手冊,BPM_操作手冊_A0012_托外加工送貨單.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_A0012_托外加工送貨單.mht,Y,SystemTransfert,2017/08/02,SystemTransfert,2017/08/02
51a3a825-0fdd-4f8c-9c78-d5217c070992, ,托外加工餘料送貨單,BPM,操作手冊,BPM_操作手冊_A0012_托外加工餘料送貨單.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_A0012_托外加工餘料送貨單.mht,Y,SystemTransfert,2017/08/02,SystemTransfert,2017/08/02
